method,k,workload,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
draft_sd,1,code_gen,50,63.45007921389505,64.5170495196345,8.107120902389289,7.935921401949599,512.0,0.850235177164452,0.14976482283554796,0.19336836383757305,13862.0,11717.0,2145.0,0.15473957581878517,0.8452604241812148,15.473957581878517
draft_sd,1,conversational_generation_gen,50,60.54581023245548,60.77146530023929,8.731353153605014,8.425037336535752,512.0,0.8077437447311426,0.1922562552688574,0.37904703151707103,14173.0,11400.0,2773.0,0.19565370775418048,0.8043462922458195,19.56537077541805
draft_sd,1,conversational_generation_sft,50,60.880603121340776,61.33727611880303,8.491015479546041,8.347289955476299,512.0,0.7848161170189972,0.21518388298100277,0.37756351343964634,14356.0,11214.0,3142.0,0.21886319308999722,0.7811368069100028,21.88631930899972
draft_sd,1,hardware_gen,50,60.97364516618475,62.94240082425591,8.651091334382071,8.134422358125448,511.42,0.8194112532792165,0.18058874672078346,0.2455633136916063,14093.0,11446.0,2647.0,0.1878237422834031,0.8121762577165968,18.78237422834031
draft_sd,1,long_chain_reasoning,50,61.78474770838925,62.72058303901303,16.95179917178117,16.32640233100392,1024.0,0.8151823033708164,0.1848176966291835,0.2846425166997227,28314.0,22856.0,5458.0,0.1927668291304655,0.8072331708695345,19.27668291304655
draft_sd,1,long_context_completion,50,64.67118814541968,67.5488681709314,27.680376953557133,30.150724244536832,1849.6,0.9342837127236275,0.06571628727637233,0.0929443379312545,47463.0,44990.0,2473.0,0.05210374396898637,0.9478962560310137,5.210374396898637
draft_sd,1,long_horizon_swe,50,63.615148314459695,64.43462021160428,16.305540234884248,15.866502303397283,1023.14,0.8568149689325424,0.14318503106745764,0.2372341698238776,27619.0,23508.0,4111.0,0.14884680835656613,0.8511531916434338,14.884680835656614
draft_sd,1,mathematical_reasoning,50,61.26343635816525,60.751349503887326,8.273021873505787,8.427818728610873,505.46,0.8021292351227415,0.19787076487725855,0.2272197720666842,14037.0,11211.0,2826.0,0.20132506945928616,0.7986749305407138,20.132506945928615
draft_sd,2,code_gen,50,65.69569570864563,67.43056553645725,7.884621422877535,7.593049151357263,512.0,0.7920651386127457,0.20793486138725417,0.19336027391116647,20008.0,15594.0,4414.0,0.22061175529788085,0.7793882447021192,22.061175529788084
draft_sd,2,conversational_generation_gen,50,62.29909454618766,61.41221500772317,8.537107590138913,8.337103933561593,512.0,0.7334645331285756,0.26653546687142443,0.3816626248121363,20894.0,15145.0,5749.0,0.27515076098401453,0.7248492390159854,27.515076098401455
draft_sd,2,conversational_generation_sft,50,60.29580648199613,60.31607330227119,8.615025883931667,8.4886675698217,512.0,0.7044285908108742,0.2955714091891258,0.37761453047401444,21414.0,14875.0,6539.0,0.3053609787989166,0.6946390212010835,30.53609787989166
