pool,method,workload,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,run_root,run_name,model_variant,candidate_set
slow_only,ngram_sd,conversational_generation_gen_cap50,50,267.68334029279345,184.69493890437792,2.4347561502456667,2.772140622138977,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_only,ngram_sd,conversational_generation_sft_cap50,50,235.55946330159756,189.0469174217785,2.4695568466186524,2.708337545394897,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_only,ngram_sd,hardware_gen,44,363.9281982329919,254.3608360465045,1.8678330183029173,2.013024926185608,511.34090909090907,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_only,ngram_sd,long_chain_reasoning,50,499.3442815308052,240.956829190724,3.607243275642395,4.252552032470703,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_only,ngram_sd,long_context_completion,50,815.1072994286743,515.9853968766035,3.4279510831832884,2.932079911231994,1829.92,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_only,ngram_sd,long_horizon_swe,50,569.0514355601963,396.7820728621836,2.930809597969055,2.5814647674560547,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_only,ngram_sd,mathematical_reasoning,50,240.75573201267213,229.1974495528889,2.210266103744507,2.2339526414871216,510.84,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,code_gen,26,24.10231300916939,23.42676494770137,21.49035192452944,21.855347990989685,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,eagle3,hardware_gen,6,21.76861236124188,21.644007100283357,23.54241394996643,23.655569314956665,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,code_gen,24,54.383501318311176,52.62294736091802,12.51007330417633,9.734754085540771,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
slow_fast,ngram_sd,conversational_generation_gen_cap50,50,43.85628797710015,29.23682512435994,14.89800624370575,17.512332797050476,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16
