pool,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,speedup_vs_slow_only_tps,latency_speedup_vs_slow_only,run_root,run_name,model_variant,candidate_set,slow_only_mean_tps,tps_ratio_vs_slow_only
slow_fast,400,58.17266602342173,35.126546125706184,18.2663188958168,17.75523066520691,804.5225,0.1492922676103059,0.1693578712477468,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_2_4_8_16,389.6562558435273,0.149292267610306
slow_fast,400,64.12110469501582,38.53244699382165,16.46198714733124,15.92580509185791,804.5225,0.16354919916706,0.1887154896089656,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k1_to_16,392.0600346658883,0.16354919916706
slow_fast,400,61.76432013041013,45.96434241634792,14.717093579173088,13.606075882911682,804.5225,0.1582287572281207,0.2112171861242008,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_balanced_lr5e4_rank2,k2_4_6_8,390.3482604073267,0.1582287572281207
slow_fast,400,64.40273962368771,38.14524279593137,16.399182269573213,16.0867817401886,804.5225,0.16347843479137,0.1879655622660403,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,393.9525094296261,0.16347843479137
slow_fast,400,66.73002373394804,39.94527095173072,15.854063061475754,15.396717190742493,804.5225,0.1691367607711247,0.1926231246883057,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_2_4_8_16,394.5329414475832,0.16913676077112474
slow_fast,400,63.727443706840425,37.82604803279117,16.405109013319016,15.85720682144165,804.5225,0.1621335985862331,0.1891988796949494,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k1_to_16,393.0551363969513,0.16213359858623316
slow_fast,400,66.30715365608606,49.370174191916846,13.640144486427308,12.783899068832396,804.5225,0.1675664854998668,0.2241789917188557,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_efficient_lr5e4_rank2,k2_4_6_8,395.70653677127297,0.16756648549986689
slow_fast,400,58.32734892855332,34.91231702420959,17.957425943017007,16.899022698402405,804.5225,0.1494994365381712,0.1726335991332343,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_2_4_6_8_10_12_14_16,390.1509616302855,0.14949943653817116
slow_fast,400,63.99406990013906,38.3107858524353,16.238140818476676,15.68699336051941,804.5225,0.1613313954518742,0.1889428325476358,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_2_4_8_16,396.6622226312345,0.16133139545187422
slow_fast,400,66.05137390798058,40.07714586630146,15.773689503073692,15.358003735542296,803.085,0.168664803825955,0.1965397182566997,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_to_16,391.6132613899631,0.16866480382595503
slow_fast,400,62.37378132118585,46.56369175793378,14.307925503253935,13.556740164756777,804.5225,0.1576304466625981,0.214407582667644,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k2_4_6_8,395.6962797592937,0.15763044666259812
slow_fast,400,64.22735290595625,39.79057409901917,16.316870484352112,15.683199048042296,804.5225,0.1633374855987683,0.1885813660249382,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,393.2186948422119,0.1633374855987683
slow_fast,400,61.66897753732653,37.308800210145165,16.80483015537262,16.2457515001297,804.5225,0.1589831422959076,0.1862479150992532,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_2_4_8_16,387.8963306848284,0.15898314229590768
slow_fast,400,56.91657194606722,34.69120890216814,18.118516340851784,17.115025877952576,803.085,0.1440715706214424,0.1694654492354247,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_to_16,395.0576210182318,0.1440715706214424
slow_fast,400,66.15721151615749,49.24433068166738,13.707420490980148,12.700563430786133,804.5225,0.1666797428873526,0.2213689799247773,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k2_4_6_8,396.9121284334389,0.16667974288735266
