pool,method,workload,n_blocks,draft_tokens,accepted_tokens,rejected_tokens,mean_k,mean_accepted_len,mean_rejected,full_accept_rate,wasted_token_rate,accepted_per_block,run_root,run_name,model_variant,candidate_set,wasted_token_pct
slow_only,eagle3,hardware_gen,2929,21620,138,21482,7.381358825537726,0.0471150563332195,7.334243769204507,0.0,0.9936170212765958,0.0471150563332195,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,99.36170212765958
slow_only,ngram_sd,code_gen,3402,41469,6955,34514,12.189594356261022,2.0443856554967668,10.145208700764256,0.1011169900058789,0.8322843569895585,2.0443856554967668,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,83.22843569895585
slow_only,ngram_sd,conversational_generation_gen_cap50,11601,183302,9837,173465,15.800534436686492,0.847944142746315,14.952590293940178,0.0237910524954745,0.94633446443574,0.847944142746315,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,94.633446443574
slow_only,ngram_sd,conversational_generation_sft_cap50,12156,193694,9563,184131,15.93402435011517,0.7866897005593946,15.147334649555775,0.015876933201711,0.9506283106342994,0.7866897005593946,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,95.06283106342994
slow_only,ngram_sd,hardware_gen,8268,119869,11722,108147,14.497943880019353,1.4177552007740688,13.080188679245284,0.0550314465408805,0.9022099124877992,1.4177552007740688,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,90.22099124877992
slow_only,ngram_sd,long_chain_reasoning,17465,270900,27488,243412,15.511022044088175,1.5738906384196965,13.93713140566848,0.0480389350128829,0.898530823181986,1.5738906384196965,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,89.8530823181986
slow_only,ngram_sd,long_context_completion,17585,277586,70015,207571,15.785385271538242,3.981518339493887,11.803866932044356,0.1881717372760875,0.7477718616933131,3.981518339493887,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,74.77718616933132
slow_only,ngram_sd,long_horizon_swe,14071,212380,31948,180432,15.09345462298344,2.270485395494279,12.822969227489162,0.1235875204320943,0.8495715227422544,2.270485395494279,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,84.95715227422545
slow_only,ngram_sd,mathematical_reasoning,10038,154424,10982,143442,15.383941024108388,1.0940426379756925,14.289898386132696,0.0227136879856545,0.9288841112780396,1.0940426379756925,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16,92.88841112780396
slow_fast,eagle3,code_gen,12337,46373,950,45423,3.758855475399206,0.077004133906136,3.68185134149307,0.0004863418983545,0.9795139413020508,0.077004133906136,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16,97.95139413020509
slow_fast,eagle3,hardware_gen,2929,9440,138,9302,3.222942983953568,0.0471150563332195,3.175827927620348,0.0,0.9853813559322034,0.0471150563332195,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16,98.53813559322035
slow_fast,ngram_sd,code_gen,3394,42661,6950,35711,12.569534472598704,2.047731290512669,10.521803182086034,0.0969357690041249,0.8370877382152317,2.047731290512669,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16,83.70877382152318
slow_fast,ngram_sd,conversational_generation_gen_cap50,11643,148369,9797,138572,12.743193335051105,0.8414497981619857,11.901743536889118,0.0274843253457012,0.9339686861810756,0.8414497981619857,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16,93.39686861810756
slow_fast,ngram_sd,conversational_generation_sft_cap50,12265,154007,9431,144576,12.556624541377904,0.7689359967386873,11.787688544639217,0.022013860578883,0.9387625237813866,0.7689359967386873,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16,93.87625237813866
slow_fast,ngram_sd,hardware_gen,8258,113710,11744,101966,13.7696778881085,1.4221361104383627,12.347541777670138,0.055340276095907,0.8967197256177997,1.4221361104383627,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced__k1_2_4_8_16,survival_utility_controller_v4_balanced,k1_2_4_8_16,89.67197256177997
