pool,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,speedup_vs_slow_only_tps,latency_speedup_vs_slow_only,run_root,run_name,model_variant,candidate_set,slow_only_mean_tps,tps_ratio_vs_slow_only
slow_fast,400,57.03702874131128,34.481685385414,18.312782064676284,17.344677448272705,804.5225,0.1451601882732275,0.1683135113267048,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_2_4_8_16,survival_utility_controller_v4_efficient__k1_2_4_8_16,survival_utility_controller_v4_efficient,k1_2_4_8_16,392.9247365948122,0.14516018827322755
slow_only,400,392.9247365948122,228.16770197468588,3.082288651466369,2.6956140995025635,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_2_4_8_16,survival_utility_controller_v4_efficient__k1_2_4_8_16,survival_utility_controller_v4_efficient,k1_2_4_8_16,392.9247365948122,1.0
slow_fast,400,63.439235606386816,38.27222831700677,16.6391191637516,15.834511876106262,804.5225,0.1620479723006084,0.186356786806381,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient,k1_to_16,391.48429138442623,0.1620479723006084
slow_only,400,391.48429138442623,225.588446762,3.1008127826452254,2.711391568183899,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient,k1_to_16,391.48429138442623,1.0
slow_fast,400,55.587893112488,40.987586514531614,16.15418829858303,14.99439823627472,804.5225,0.1408262599082501,0.1902018536283182,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient,k2_4_6_8,394.72675869332966,0.14082625990825018
slow_only,400,394.72675869332966,227.2147983048063,3.0725565582513807,2.7070086002349854,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient,k2_4_6_8,394.72675869332966,1.0
slow_fast,400,62.392183102167,37.31270802338831,16.768121449351312,16.586875796318054,804.5225,0.1569582577345032,0.1834002621220463,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first,k1_2_4_6_8_10_12_14_16,397.50812733729583,0.15695825773450323
slow_only,400,397.50812733729583,226.87463044944383,3.075277869105339,2.686913847923279,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first,k1_2_4_6_8_10_12_14_16,397.50812733729583,1.0
slow_fast,400,62.15156337831078,36.30221487981898,17.132037761807442,16.847601413726807,804.5225,0.1557184677660054,0.1781550182407563,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first,k1_2_4_8_16,399.12776095192834,0.15571846776600545
slow_only,400,399.12776095192834,230.4768692940217,3.052158499956131,2.66458261013031,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first,k1_2_4_8_16,399.12776095192834,1.0
