pool,n_blocks,draft_tokens,accepted_tokens,rejected_tokens,mean_k,mean_accepted_len,mean_rejected,full_accept_rate,wasted_token_rate,accepted_per_block,mean_tps,tps_ratio_vs_slow_only,STE_vs_slow_only,ATE_vs_slow_only,run_root,run_name,model_variant,candidate_set,wasted_token_pct
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,392.9247365948122,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_2_4_8_16,survival_utility_controller_v4_efficient__k1_2_4_8_16,survival_utility_controller_v4_efficient,k1_2_4_8_16,88.96635105679749
slow_fast,113726,921893,175474,746419,8.106264178815751,1.5429541177918855,6.563310061023865,0.0987109368130418,0.8096590385218241,1.5429541177918855,63.439235606386816,0.1620479723006084,0.0308443668532866,0.0475914428469621,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient,k1_to_16,80.96590385218241
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,391.48429138442623,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient__k1_to_16,survival_utility_controller_v4_efficient,k1_to_16,88.96635105679749
slow_fast,119403,800291,169387,630904,6.702436287195464,1.4186159476730065,5.283820339522458,0.1346532331683458,0.7883432401463968,1.4186159476730065,55.587893112488,0.1408262599082501,0.0298068298744816,0.0422844442095158,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient,k2_4_6_8,78.83432401463968
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,394.72675869332966,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient__k2_4_6_8,survival_utility_controller_v4_efficient,k2_4_6_8,88.96635105679749
slow_fast,109548,1392987,179861,1213126,12.71576843027714,1.641846496512944,11.073921933764195,0.0651038814035856,0.8708810634987979,1.641846496512944,62.392183102167,0.1569582577345032,0.0202662833137606,0.0332741262560366,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first,k1_2_4_6_8_10_12_14_16,87.0881063498798
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,397.50812733729583,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_speed_first,k1_2_4_6_8_10_12_14_16,88.96635105679749
slow_fast,109606,1424347,179854,1244493,12.995155374705764,1.6409138185865737,11.35424155611919,0.0656442165574877,0.8737288034446662,1.6409138185865737,62.15156337831078,0.1557184677660054,0.0196627572505766,0.0322648900839846,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first,k1_2_4_8_16,87.37288034446662
slow_only,109850,1627748,179600,1448148,14.817915339098771,1.634956759217114,13.182958579881657,0.0673190714610832,0.8896635105679749,1.634956759217114,399.12776095192834,1.0,0.1103364894320251,0.1803953891851771,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first__k1_2_4_8_16,survival_utility_controller_v4_speed_first,k1_2_4_8_16,88.96635105679749
slow_fast,109435,1388970,180054,1208916,12.692191711975145,1.6453054324484857,11.04688627952666,0.0653081738018001,0.8703686904684766,1.6453054324484857,60.41384570100601,0.1540080245355994,0.0199642618989127,0.0328473085571054,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first__k1_to_16,survival_utility_controller_v4_speed_first,k1_to_16,87.03686904684767
